epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5081,1.66392,2.43359,1.61631,0.4799,0.27492,0.28122,0.10768,2.09069,4.33661,2.26007,0.000408163,0.000408163,0.000408163
2,38.1068,1.68706,1.80089,1.68972,0.31349,0.65633,0.38693,0.17489,1.76904,5.77232,2.76724,0.000808498,0.000808498,0.000808498
3,55.4826,1.83001,1.79816,1.80741,0.49627,0.45917,0.41011,0.19328,1.8207,3.63579,2.30525,0.00119233,0.00119233,0.00119233
4,73.1478,1.74726,1.61711,1.76664,0.71695,0.5162,0.62862,0.29827,1.86787,1.9945,2.19428,0.00117575,0.00117575,0.00117575
5,90.7395,1.73747,1.55531,1.69426,0.5901,0.62573,0.64088,0.31961,1.60427,2.23804,1.95286,0.001151,0.001151,0.001151
6,108.405,1.67053,1.48556,1.67835,0.61217,0.45269,0.49367,0.2264,1.91082,1.88281,2.21573,0.00112625,0.00112625,0.00112625
7,125.696,1.66156,1.41142,1.68546,0.7066,0.65198,0.69058,0.35674,1.61966,1.6358,1.83361,0.0011015,0.0011015,0.0011015
8,143.24,1.6366,1.37709,1.67692,0.66971,0.63383,0.67885,0.33454,1.63499,1.69198,1.89096,0.00107675,0.00107675,0.00107675
9,161.332,1.6642,1.40098,1.70833,0.71022,0.74217,0.80609,0.4416,1.52581,1.21304,1.76691,0.001052,0.001052,0.001052
10,178.891,1.63912,1.39329,1.70631,0.75992,0.64074,0.73072,0.39096,1.4906,1.64347,1.78596,0.00102725,0.00102725,0.00102725
11,196.048,1.58866,1.35735,1.63667,0.80046,0.7796,0.8563,0.4646,1.46657,1.30729,1.74733,0.0010025,0.0010025,0.0010025
12,213.779,1.54614,1.21319,1.60809,0.86746,0.76147,0.89179,0.50776,1.43522,1.01682,1.63223,0.00097775,0.00097775,0.00097775
13,231.361,1.54254,1.21925,1.61976,0.83464,0.76284,0.87536,0.52212,1.37588,0.98705,1.61111,0.000953,0.000953,0.000953
14,250.301,1.54495,1.17423,1.60985,0.8105,0.86583,0.92846,0.55781,1.36299,0.88516,1.64188,0.00092825,0.00092825,0.00092825
15,269.006,1.50142,1.17332,1.55358,0.89338,0.8893,0.93389,0.57344,1.28561,0.89043,1.53973,0.0009035,0.0009035,0.0009035
16,287.751,1.46632,1.14443,1.55956,0.74462,0.84163,0.87295,0.52848,1.36887,1.23789,1.63882,0.00087875,0.00087875,0.00087875
17,305.701,1.40575,1.07256,1.51269,0.86146,0.87032,0.9292,0.57085,1.30019,0.8361,1.50857,0.000854,0.000854,0.000854
18,325.55,1.45736,1.12694,1.54139,0.8856,0.87127,0.92414,0.57506,1.29633,0.8259,1.51965,0.00082925,0.00082925,0.00082925
19,344.174,1.42912,1.11598,1.54727,0.84598,0.86511,0.90657,0.56511,1.29631,0.8419,1.50465,0.0008045,0.0008045,0.0008045
20,362.986,1.44761,1.09942,1.51977,0.87678,0.87807,0.9367,0.56359,1.32937,0.82192,1.54708,0.00077975,0.00077975,0.00077975
21,380.963,1.41646,1.03883,1.5063,0.90623,0.90507,0.94024,0.58013,1.3229,0.75399,1.54019,0.000755,0.000755,0.000755
22,398.585,1.35396,0.94842,1.45633,0.91595,0.92825,0.95903,0.61325,1.239,0.72099,1.46172,0.00073025,0.00073025,0.00073025
23,416.249,1.38875,0.98208,1.50847,0.92972,0.91278,0.96217,0.62181,1.24076,0.69977,1.49457,0.0007055,0.0007055,0.0007055
24,434.261,1.32715,0.96864,1.48213,0.93573,0.944,0.96899,0.6292,1.19758,0.67071,1.45511,0.00068075,0.00068075,0.00068075
25,452.428,1.3407,0.95081,1.4801,0.91243,0.90825,0.95847,0.602,1.29408,0.71344,1.51734,0.000656,0.000656,0.000656
26,470.669,1.35164,0.92678,1.45919,0.95119,0.93362,0.97155,0.63143,1.20011,0.65396,1.46596,0.00063125,0.00063125,0.00063125
27,492.228,1.36784,0.95095,1.50048,0.96283,0.94489,0.97364,0.64029,1.1796,0.63792,1.44736,0.0006065,0.0006065,0.0006065
28,510.583,1.30864,0.89223,1.43605,0.92679,0.94774,0.96705,0.64783,1.14919,0.62499,1.41285,0.00058175,0.00058175,0.00058175
29,528.438,1.27795,0.83722,1.42507,0.94549,0.94229,0.9695,0.64483,1.16768,0.61814,1.41823,0.000557,0.000557,0.000557
30,546.308,1.30872,0.89704,1.44038,0.96737,0.94288,0.97564,0.65829,1.14829,0.6021,1.41353,0.00053225,0.00053225,0.00053225
